USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
691764,99999,CLARK INTL,RP,,,15.183,120.567,148.0,19850311,20030611
691854,99999,VILLAMOR,RP,,,14.517,121.017,23.0,19830314,20001020
692004,99999,EDWIN ANDREWS AB,RP,,,6.933,122.067,10.1,19770313,20010822
697054,99999,TACLOBAN,RP,,,11.233,125.033,3.0,19840823,19991227
697134,99999,ILOILO,RP,,,10.717,122.533,8.0,19840322,20020525
697174,99999,MACTAN CEBU INTL,RP,,,10.317,123.95,9.0,19920727,19920727
697194,99999,ORMOC,RP,,,11.067,124.567,25.0,19870517,20080609
698074,99999,GUIUAN,RP,,,11.033,125.75,6.4,19840907,19990228
749306,99999,SANGA SANGA,RP,,RPMN,5.047,119.743,4.6,19450426,19450809
749315,99999,GUIUAN PHILIPPINES,RP,,,11.033,125.716,8.0,19450116,19450822
981320,99999,ITBAYAT,RP,,,20.8,121.85,124.0,19730101,20250705
981330,99999,CALAYAN,RP,,,19.267,121.467,13.0,19490826,20250705
981340,99999,BASCO RADAR,RP,,,20.433,121.967,167.0,20020201,20250705
981350,99999,BASCO,RP,,RPUO,20.451,121.98,88.7,19490101,19971231
981360,99999,BASCO RADAR,RP,,,20.433,121.95,167.0,19990419,20020513
982220,99999,VIGAN,RP,,RPUQ,17.555,120.356,4.9,19490101,20250705
982230,99999,LAOAG INTL,RP,,RPLI,18.178,120.532,7.6,19450331,20250705
982310,99999,APARRI RADAR,RP,,,18.367,121.617,-999.9,19990327,20000512
982320,99999,APARRI,RP,,RPUA,18.367,121.633,3.0,19450804,20250705
982330,99999,TUGUEGARAO,RP,,RPUT,17.638,121.731,21.3,19490101,20250705
983210,99999,STO. TOMAS,RP,,,16.35,120.567,2256.0,19800818,19971026
983220,99999,CROW VALLEY GUNNERY RANGE,RP,,,15.317,120.383,161.0,19750212,20030102
983230,99999,NAULA POINT,RP,,,15.7,119.967,5.0,19730608,20050615
983240,99999,IBA/LUZON ISLAND,RP,,RPUI,15.333,119.967,5.0,19490104,20250705
983250,99999,DAGUPAN,RP,,RPUG,16.083,120.35,2.0,19450119,20250705
983260,99999,BASA AB,RP,,RPUF,14.983,120.483,46.0,19450419,20250415
983275,99999,CLARK INTL,RP,,,15.183,120.55,151.0,20001119,20081231
983280,99999,BAGUIO,RP,,RPUB,16.375,120.62,1295.7,19490101,20250705
983290,99999,MUNOZ,RP,,,15.733,120.933,76.0,19490101,19971231
983300,99999,CABANATUAN,RP,,,15.467,120.95,32.0,19900901,19971231
983330,99999,BALER,RP,,RPUR,15.73,121.5,32.9,19490101,19971113
983340,99999,BALER RADAR,RP,,,15.75,121.633,178.0,19950402,20250705
983360,99999,CASIGURAN,RP,,,16.267,122.133,4.0,19490101,20250705
984235,99999,MAMBURAO,RP,,RPUM,13.217,120.6,4.0,19841128,19850111
984250,99999,MANILA,RP,,,14.583,120.983,13.0,19780705,20231201
984260,41231,SUBIC BAY WEATHER,RP,,RPLB,14.8,120.267,19.0,19450209,20250705
984260,99999,SUBIC BAY INTL,RP,,RPLB,14.794,120.271,19.5,20000101,20041231
984270,99999,TAYABAS,RP,,,14.017,121.6,158.0,19730101,20250705
984280,41224,SANGLEY POINT,RP,,RPLS,14.5,120.9,4.0,19460930,19971224
984280,99999,SANGLEY POINT AB,RP,,RPLS,14.495,120.904,2.4,20000101,20250705
984290,99999,NINOY AQUINO INTL,RP,,RPLL,14.509,121.02,22.9,19450331,20250705
984295,99999,NICHOLS AB,RP,,RPAF,14.517,121.017,23.0,19730620,19850916
984300,99999,SCIENCE GARDEN,RP,,,14.65,121.05,46.0,19450228,20250705
984310,99999,CALAPAN/MINDORO ISL,RP,,RPUK,13.417,121.183,41.0,19490112,20250705
984320,99999,AMBULONG,RP,,,14.083,121.05,11.0,19490205,20250705
984330,99999,TANAY,RP,,,14.583,121.367,651.0,19490101,20250705
984340,99999,INFANTA,RP,,,14.75,121.65,7.0,19490101,20250705
984350,99999,ALABAT,RP,,,14.1,122.017,5.0,19730113,20250705
984360,99999,FERNANDO AB,RP,,RPUL,13.955,121.125,371.9,20020601,20020601
984370,99999,SAN FRANCISCO,RP,,,13.367,122.517,45.0,19490102,19971218
984375,99999,MARINDUQUE,RP,,RPUW,13.361,121.826,9.8,19450725,19910314
984380,99999,JOMALIG / QUEZON,RP,,RPLJ,14.7,122.333,-999.9,20020721,20041222
984390,99999,DAET/BAGASBAS,RP,,,14.117,122.95,10.0,19490101,19830309
984400,99999,DAET,RP,,RPUD,14.129,122.98,3.0,19740201,20250705
984420,99999,PILI,RP,,,13.583,123.267,35.0,19911201,20230805
984425,99999,NAGA,RP,,RPUN,13.585,123.27,43.3,19840924,19910106
984440,99999,LEGAZPI,RP,,RPLP,13.157,123.746,20.1,19450503,20250705
984460,99999,VIRAC,RP,,RPUV,13.576,124.206,36.9,19490102,20250705
984470,99999,CATANDUANES RADAR,RP,,,13.654,124.341,233.0,19730101,19971220
985260,99999,CORON,RP,,,12.217,120.2,60.0,19490121,20250705
985310,99999,SAN JOSE,RP,,RPUH,12.362,121.047,4.3,19450717,20250705
985360,99999,ROMBLON,RP,,,12.583,122.283,47.0,19490101,20250705
985361,41231,CUBI POINT NAVAL AIR STATION,RP,,RPMB,14.8,120.267,18.3,20160517,20160517
985370,99999,KALIBO/AKLAN,RP,,RPVK,11.683,122.383,6.0,20151022,20250705
985375,99999,KALIBO/PANAY ISLAND,RP,,RPVK,11.683,122.367,7.0,19841210,19850111
985380,99999,ROXAS,RP,,RPVR,11.598,122.752,3.0,19490126,20250705
985430,99999,MASBATE,RP,,RPVJ,12.369,123.629,7.9,19490104,20250705
985450,99999,CALBAYOG/WESTERN,RP,,RPVC,12.067,124.533,3.0,20101030,20171216
985455,99999,CALBAYOG/SAMAR ISL,RP,,RPVC,12.083,124.55,3.0,19841210,19850111
985460,99999,CATARMAN,RP,,RPVF,12.502,124.636,1.8,19490101,20250705
985480,99999,CATBALOGAN,RP,,RPVY,11.783,124.883,5.0,19730101,20250705
985500,99999,DANIEL Z ROMUALDEZ,RP,,RPVA,11.228,125.028,3.0,19441022,20241124
985530,99999,BORONGAN,RP,,RPVW,11.667,125.45,3.0,19590101,20250705
985580,99999,GUIUAN,RP,,RPVG,11.036,125.742,2.1,19740103,20250705
986020,99999,NANSHAN ISLAND,RP,,,10.72,115.82,0.0,19830813,20101103
986180,99999,PUERTO PRINCESA,RP,,RPVP,9.742,118.759,21.6,19450331,20250705
986300,99999,CUYO,RP,,RPLO,10.85,121.0,4.0,19490106,20250705
986395,99999,BACOLOD/NEGROS ISL,RP,,RPVB,10.65,122.933,6.0,19840926,19850111
986420,99999,DUMAGUETE,RP,,RPVD,9.334,123.3,4.6,19490101,20250705
986440,99999,TAGBILARAN,RP,,RPVT,9.664,123.853,11.6,19730101,20250705
986445,99999,MEDILLIN-CEBU,RP,,RPVN,11.16,123.95,15.0,20110404,20170602
986450,99999,LAHUG,RP,,,10.333,123.9,35.0,19490101,19780802
986460,99999,MACTAN CEBU INTL,RP,,RPVM,10.308,123.979,9.4,19650731,20250705
986480,99999,MAASIN,RP,,RPSM,10.133,124.867,72.0,19730727,20250705
986530,99999,SURIGAO,RP,,RPMS,9.783,125.483,55.0,19490102,20250705
986545,99999,TANDAG,RP,,RPMW,9.072,126.171,4.9,19841210,19850111
987410,99999,DIPOLOG,RP,,RPMG,8.601,123.334,3.7,19590101,20250705
987420,99999,PAGADIAN,RP,,RPMP,7.827,123.458,1.5,20200325,20200505
987425,99999,PAGADIAN/MINDANAO,RP,,RPWP,7.833,123.45,2.0,19840926,19900921
987430,99999,ILIGAN,RP,,RPMI,8.13,124.215,396.2,20210609,20210609
987445,99999,OZAMIS/MISAMIS,RP,,RPWI,8.167,123.85,10.0,19840926,19850111
987450,99999,MALABANG,RP,,RPMM,7.617,124.059,8.0,20181023,20181023
987455,99999,MALABANG,RP,,RPWM,7.617,124.05,8.0,19440914,19840926
987460,99999,COTOBATO,RP,,RPMC,7.167,124.217,62.0,19490101,20250705
987461,99999,COTABATO/MINDANAO,RP,,RPWC,7.233,124.25,17.0,19840912,19850111
987470,99999,LUMBIA AIRPORT,RP,,,8.417,124.617,188.0,19770401,20231217
987480,99999,CAGAYAN DE ORO,RP,,RPML,8.483,124.65,6.0,19490101,20210207
987495,99999,DEL MONTE PLANTATION AIRSTRIP,RP,,RPMT,8.348,124.851,579.7,20221006,20221006
987510,99999,MALAYBALAY,RP,,RPMY,8.15,125.133,627.0,19490101,20250705
987520,99999,BUTUAN,RP,,RPME,8.95,125.483,46.0,19810101,20250705
987530,99999,FRANCISCO BANGOY INTL,RP,,RPMD,7.126,125.646,29.3,19740601,20250705
987540,99999,DAVAO,RP,,,7.067,125.6,19.0,19490101,19751111
987550,99999,HINATUAN,RP,,,8.367,126.333,3.0,19491001,20250705
988300,99999,JOLO,RP,,RPMJ,6.05,121.0,13.0,19490101,19900921
988360,99999,ZAMBOANGA INTL,RP,,RPMZ,6.922,122.06,10.1,19450312,20250705
988485,99999,ALLAH VALLEY,RP,,RPMA,6.367,124.751,200.9,19840926,20191215
988510,41231,CUBI POINT NAVAL AIR STATION,RP,,RPMB,14.8,120.267,18.3,20050101,20250705
988510,99999,GEN. SANTOS,RP,,RPMB,6.05,125.1,133.0,19730101,19971230
999999,41224,SANGLEY POINT,RP,,RPMS,14.5,120.917,2.1,19470101,19631231
999999,41225,SAN JOSE,RP,,,12.6,121.0,4.0,19450514,19450917
999999,41226,LEYTE GULF NF,RP,,RLTE,11.067,125.033,4.0,19450731,19450829
999999,41227,MANILA NF,RP,,,14.6,121.0,4.0,19451231,19460131
999999,41228,MANILA NF,RP,,,14.6,121.0,32.9,19460630,19470123
999999,41229,MANILA,RP,,,14.55,120.983,4.0,19470131,19470630
999999,41230,OLONGAPO,RP,,ROLP,14.817,120.283,4.0,19500110,19550729
999999,41231,CUBI POINT NF,RP,,RPLB,14.8,120.267,14.0,19550731,19721231
